reviewId,content,score
421fc942-0af7-408a-b2c8-8ab33a4f249d,Not opening even when the app is newly updated. You need to clear all your data from Facebook app in order to open it,1
292411c5-b0af-4238-9f4d-7b4009378b09,سياسة التجسس,1
3ff6059d-2e0b-4247-a4d3-d7b9bf0dbc18,very good,5
322e0230-3a95-4ce3-b88e-9ab87b1ecd48,I hate the end to end encryption feature. You need to backread the previous image or attachment to retrieve your files. Please fix this issue :(,1
f2e67d02-476e-47ec-b455-818b1e1898bf,Not install,5
6c7e7014-caed-47dd-9a9a-2133508e9ca5,It has a bug and it keeps crashing,1
92e0be5d-dc61-46a8-b859-9532b38b41c1,perfect,5
901738c7-1a81-4e0d-9b15-1a439bea120d,good app,5
fb0c91a8-a2ef-4d0a-b43c-6351aceb22ca,Sometimes good but sometimes not good enough,4
00e62695-7815-4579-85fc-0cb8bc5479f2,"I already updated my messenger but when I'm gonna use it someone pops in my screen and it says “sorry, we're having some issues” please fix this. I have a lot things to do but I can't do it ‘cause messenger have an issues or bug.",1
51357849-66b2-4bf5-92aa-914ec8ca1393,messenger calls are getting better a little at a time. but it is getting better at least.,5
3212f6f8-c0f9-4219-a41f-73aaf0184471,"Absolute trash after the update some chats wont load ,messages dont send even with good connection, cant even open links sucks but need this for school New update sucks adding meta ai is alright but the fact it KEEPS CRASHING AFTER THE UPDATE LITERALLY MADE IT USELESS",1
041fa756-0d1d-4391-872b-3b6a5365f211,What is wrong with messenger? After turning on end to end encryption when I uninstalled messenger I am not getting the full version of it like before. Even many messages also disappeared. Please fix it. I love to use this app so much.,1
8fd414bd-309e-43c3-8412-fc23416fc26f,"good video call to family, got to see everyone 👍 good audio clarity 👍",5
f2869424-e8d2-48dd-b8f5-72c527662542,It's brilliant,5
e885ec7e-29fe-4e2c-9b4f-8d0325ff9e59,I updated but I didn't get meta ai,1
d1a01d98-dcdf-4ff6-890a-64499fb8cc12,I don't like the Meta AI and I don't need it. Is there way to disable it? I find it annoying.,1
2c678ebd-4e97-4cdc-8e35-8f2546cb1cbd,👍,5
82262741-1942-4597-b1d4-429bfb701418,Ok,3
47cd180b-e762-40da-85a1-b7b60ac18c85,good,5
b652c584-dbea-4df2-b7be-05eea86ac219,"aaee3ewwrn,_== vz I've Begun the book you know like",3
7c95fe28-475f-4a0e-9790-f404b9d41df7,Would like to be given the option of a private call. If you agree or disagree please message or send a friend request!,4
81beb1a0-5c63-4275-b5b4-c4197d9cd79d,💕💕💕,5
8d7638d7-abe3-4d82-bd23-abcf049ab06b,Just good,5
3814f307-4a94-47cb-9063-0ccc6b54f15e,I like the new Meta AI,5
d246b032-4d48-44d5-8d82-05c8efa22480,I find this awesome but I love the old one,4
ef6d931a-2b27-4081-9edb-2f79b2150b46,naci,5
904c5fc1-bf26-40af-b9fe-54420f5eec6e,Nice,5
f8bc4859-ecf1-488a-a649-cc8c7957e9e5,সাকিব,4
d106ff1c-9626-4f5d-8d0b-4543bbb17594,fuzzy,3
7ae85704-5d25-45e0-9e61-b08332394f94,👍,4
18f3863b-7387-4059-967e-08d76e491e05,"It always says ""error""",1
28297978-b02f-40b9-9bcd-e6d4ef3b4ff2,It's so convenient to use,4
251b8e6c-629e-49e5-902e-c7d7c788f113,5 stars!,5
57bca1f8-9169-4b85-93a9-c51da9f42dbd,App freezing and restarting. Deleted and reinstalled. The same thing is happening,1
1d3ce6a0-fb4e-488b-9009-07748e9f89ee,👍,5
b15d55aa-bdb4-4ebf-acd3-f9d6d137cd90,Not a fan of Meta AI,4
411476df-9570-4a50-8d38-f0dc38e9eb7f,Tell me more options,5
5ec36a68-11f9-4ec4-a240-2c5e3313ce06,good,5
2eb7b9a7-90f7-4bab-9e0a-dddea8a65a34,Very nice,5
19661f93-cbbe-4c6d-848c-3b8cad5c5b8c,Not working,1
e54dbad6-81a4-4737-a44e-6c6a672574e0,Good 👍😊,5
eeecc9e1-c064-47fe-8c19-3419e4cdb50a,kyawmin,5
84dd9c89-84cd-47ee-99d4-44a86e8dfca7,"I changed my 5 star to 2, because why the h-ck would you add unnecessary button like ""Meta Ai"", messenger is a place to communicate to our loved ones and not to do things like google or searching. I'm disappointed.",2
b3ae752f-ea3b-49db-99cd-4d5d74eaf3db,Super happy for the application,5
9a7f4819-22e4-4b6a-af79-c9d6bcddbef1,"I experience that this can help you communicate with people around us and the world as large, so this is very helpful to us. We should take this serious okay.",5
4b401e61-3951-46b4-a7bc-da8dc79addfb,My messenger keep on closing once i open it,1
4f925274-b44b-4c78-a9b0-e8878e74632a,I'm using messenger for a long time so nice,4
9314ba24-e75d-4c2a-a362-ad1f8b3e76c5,The app is vary nice,5
4f69c5df-3055-40cd-aeaf-806cd1f20773,This is no good installed but useless. Why I can't open,1
20cb6f4a-7408-414e-88e4-a0afc0e12ffb,👍,5
f9e23195-c106-4431-bc61-ac3adc189c4f,Nice,5
c9dde52c-88a0-4b69-bc36-ad3ac04af277,Not good,2
e73ed1f4-c0eb-420a-83a7-16c1cb12bda0,good,5
1b0aa9f1-4352-4786-9e9d-c84d43086ff0,Good,5
6a8190a3-2ced-4072-8eda-337f06519f1b,is a good very good 👍 actually fantastic mind blowing 👍👍👍👍👍👍,5
e869f3fe-d6c8-48bd-a71a-f2afae98dea8,I don't have notes featured on my messenger.,1
89eda21a-3f6f-449f-b908-4b7429004057,Clear audio and video. 👍🏼,5
c4abeb33-96fd-436b-8afc-b2159d5df7c6,I want to use a new version messenger.,5
341432a5-669c-4d9d-a2b3-d733b8aa57d9,Great app,5
