Company name,region,Image URL,Date: 1st quarter 1998,Date: 2nd quarter 1998,Date: 3rd quarter 1998,Date: 4th quarter 1998,Date: 1st quarter 1999,Date: 2nd quarter 1999,Date: 3rd quarter 1999,Date: 4th quarter 1999,Date: 1st quarter 2000,Date: 2nd quarter 2000,Date: 3rd quarter 2000,Date: 4th quarter 2000,Date: 1st quarter 2001,Date: 2nd quarter 2001,Date: 3rd quarter 2001,Date: 4th quarter 2001,Date: 1st quarter 2002,Date: 2nd quarter 2002,Date: 3rd quarter 2002,Date: 4th quarter 2002,Date: 1st quarter 2003,Date: 2nd quarter 2003,Date: 3rd quarter 2003,Date: 4th quarter 2003,Date: 1st quarter 2004,Date: 2nd quarter 2004,Date: 3rd quarter 2004,Date: 4th quarter 2004,Date: 1st quarter 2005,Date: 2nd quarter 2005,Date: 3rd quarter 2005,Date: 4th quarter 2005,Date: 1st quarter 2006,Date: 2nd quarter 2006,Date: 3rd quarter 2006,Date: 4th quarter 2006,Date: 1st quarter 2007,Date: 2nd quarter 2007,Date: 3rd quarter 2007,Date: 4th quarter 2007,Date: 1st quarter 2008,Date: 2nd quarter 2008,Date: 3rd quarter 2008,Date: 4th quarter 2008,Date: 1st quarter 2009,Date: 2nd quarter 2009,Date: 3rd quarter 2009,Date: 4th quarter 2009,Date: 1st quarter 2010,Date: 2nd quarter 2010,Date: 3rd quarter 2010,Date: 4th quarter 2010,Date: 1st quarter 2011,Date: 2nd quarter 2011,Date: 3rd quarter 2011,Date: 4th quarter 2011,Date: 1st quarter 2012,Date: 2nd quarter 2012,Date: 3rd quarter 2012,Date: 4th quarter 2012,Date: 1st quarter 2013,Date: 2nd quarter 2013,Date: 3rd quarter 2013,Date: 4th quarter 2013,Date: 1st quarter 2014,Date: 2nd quarter 2014,Date: 3rd quarter 2014,Date: 4th quarter 2014,Date: 1st quarter 2015,Date: 2nd quarter 2015,Date: 3rd quarter 2015,Date: 4th quarter 2015,Date: 1st quarter 2016,Date: 2nd quarter 2016,Date: 3rd quarter 2016,Date: 4th quarter 2016,Date: 1st quarter 2017,Date: 2nd quarter 2017,Date: 3rd quarter 2017,Date: 4th quarter 2017,Date: 1st quarter 2018,Date: 2nd quarter 2018,Date: 3rd quarter 2018,Date: 4th quarter 2018,Date: 1st quarter 2019,Date: 2nd quarter 2019,Date: 3rd quarter 2019
AOL Instant Messenger,AOL Instant Messenger,http://icons.iconarchive.com/icons/hopstarter/3d-cartoon-vol3/256/AOL-Instant-Messenger-icon.png,"3,868,000","5,992,000","7,382,000","9,506,000","10,915,000","11,639,000","14,464,000","15,886,000","17,310,000","17,831,000","18,607,000","19,131,000","19,902,000","20,418,000","21,199,000","21,729,000","24,101,000","31,472,000","33,700,000","43,466,000","45,424,000","43,567,000","42,341,000","40,499,000","40,193,000","40,680,000","41,005,000","41,493,000","43,151,000","45,445,000","48,898,000","51,206,000","54,527,000","56,000,000","59,000,000","61,000,000","56,000,000","49,000,000","38,500,000","31,000,000","27,000,000","28,000,000","28,000,000","29,000,000","28,000,000","23,000,000","20,000,000","16,000,000","14,000,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICQ,ICQ,http://pngimg.com/uploads/icq/icq_PNG17.png,"3,606,000","4,354,000","4,844,000","5,593,000","6,090,000","6,345,000","7,341,000","7,842,000","8,675,000","9,277,000","10,174,000","10,781,000","11,674,000","12,270,000","13,174,000","13,787,000","14,358,000","15,264,000","15,538,000","16,738,000","17,332,000","18,246,000","18,848,000","19,754,000","20,549,000","21,933,000","22,858,000","24,246,000","25,169,000","26,085,000","27,462,000","28,384,000","29,795,000","30,000,000","32,000,000","33,000,000","34,000,000","36,000,000","38,300,000","39,000,000","41,000,000","43,000,000","44,000,000","46,000,000","46,700,000","45,000,000","44,000,000","42,000,000","40,000,000","37,000,000","35,000,000","32,000,000","29,000,000","27,000,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Messenger,Yahoo! Messenger,https://vignette.wikia.nocookie.net/logopedia/images/2/2f/Yahoo-Messenger-App.png/revision/latest?cb=20190117064315,425,"1,219,000","1,739,000","2,534,000","3,061,000","3,331,000","4,388,000","4,920,000","6,218,000","7,382,000","9,115,000","10,287,000","11,248,000","11,531,000","11,960,000","12,251,000","12,802,000","14,215,000","14,642,000","16,514,000","17,191,000","17,811,000","18,219,000","18,833,000","18,903,000","18,659,000","18,497,000","18,253,000","18,349,000","18,571,000","18,904,000","19,126,000","25,823,000","34,000,000","47,000,000","56,000,000","59,000,000","57,000,000","53,000,000","50,000,000","47,000,000","43,900,000","41,000,000","37,000,000","34,000,000","30,000,000","28,000,000","24,000,000","22,000,000","20,400,000","19,000,000","18,000,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQ,QQ,http://logo-load.com/uploads/posts/2016-08/qq-logo.png,,,,,"3,291,000","5,010,000","11,718,000","15,093,000","20,158,000","23,527,000","28,545,000","31,937,000","36,931,000","40,266,000","45,320,000","48,749,000","52,666,000","60,268,000","62,565,000","72,637,000","77,622,000","85,286,000","90,340,000","97,937,000","112,079,000","142,503,000","162,815,000","193,331,000","213,611,000","233,736,000","264,020,000","284,264,000","315,276,000","335,000,000","365,000,000","386,000,000","417,000,000","437,000,000","468,000,000","488,000,000","506,000,000","528,000,000","543,000,000","566,000,000","581,000,000","604,000,000","619,000,000","641,000,000","657,000,000","679,000,000","695,000,000","710,000,000","733,000,000","749,000,000","764,000,000","787,000,000","802,000,000","807,000,000","815,000,000","820,000,000","828,000,000","833,000,000","838,000,000","845,000,000","851,000,000","858,000,000","863,000,000","870,000,000","876,000,000","883,000,000","888,000,000","896,000,000","895,000,000","887,000,000","881,000,000","873,000,000","867,000,000","858,000,000","853,000,000","847,000,000","841,000,000","838,000,000","834,000,000","831,000,000","827,000,000","824,000,000","823,000,000"
MSN Messenger,MSN messenger,https://macmagazine.uol.com.br/wp-content/uploads/2009/03/msn_logo.png,,,,,711,"1,169,000","2,958,000","3,858,000","5,063,000","5,778,000","6,843,000","7,562,000","9,367,000","10,924,000","13,283,000","14,883,000","23,080,000","48,972,000","56,796,000","91,101,000","101,437,000","106,082,000","109,145,000","113,750,000","115,166,000","115,198,000","115,227,000","115,293,000","115,362,000","115,472,000","115,873,000","117,068,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skype,Skype,https://www.freelogovectors.net/wp-content/uploads/2016/12/skype_logo.png,,,,,,,,,,,,,,,,,,,,,"2,661,000","8,028,000","11,568,000","16,889,000","20,427,000","25,700,000","29,221,000","34,510,000","38,026,000","41,514,000","46,763,000","50,272,000","55,647,000","59,000,000","64,000,000","68,000,000","73,000,000","76,000,000","82,000,000","85,000,000","89,000,000","94,000,000","98,000,000","103,000,000","109,000,000","121,000,000","129,000,000","142,000,000","148,000,000","155,000,000","160,000,000","165,000,000","181,000,000","197,000,000","214,000,000","238,000,000","254,000,000","260,000,000","270,000,000","276,000,000","283,000,000","287,000,000","291,000,000","297,000,000","300,000,000","300,800,000","301,000,000","301,700,000","302,000,000","302,800,000","303,000,000","303,800,000","303,900,000","303,600,000","303,300,000","303,000,000","302,800,000","302,500,000","302,300,000","302,100,000","301,900,000","301,800,000","301,600,000","301,400,000","301,200,000","301,100,000","301,000,000"
Google Talk,Google Talk,http://phandroid.com/wp-content/uploads/2014/10/googletalk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,326,000","1,809,000","2,536,000","3,022,000","3,522,000","3,600,000","3,900,000","4,100,000","4,300,000","4,500,000","4,700,000","4,900,000","5,000,000","5,400,000","5,600,000","5,900,000","6,100,000","6,400,000","6,700,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackberry Messenger,Blackberry Messenger,https://seeklogo.com/images/B/bbm-blackberry-messenger-logo-A02F577283-seeklogo.com.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,899,000","3,149,000","3,357,000","3,767,000","4,100,000","4,800,000","5,600,000","7,400,000","9,700,000","20,000,000","80,000,000","81,000,000","90,000,000","91,000,000","93,000,000","101,000,000","101,000,000","102,000,000","106,000,000","121,000,000","121,000,000","121,000,000","122,000,000","123,000,000","125,000,000","134,000,000","150,000,000","151,000,000","151,000,000","154,000,000","161,000,000","161,200,000","161,400,000","161,700,000","162,000,000","163,000,000","166,000,000","185,000,000","190,000,000","191,000,000","193,000,000",0,,,,,,,,,,,,,,,,
Windows Live Messenger,Windows Live Messenger,https://www.softexia.com/wp-content/uploads/2013/05/Windows-Live-Messenger.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,916,000","256,000,000","258,000,000","259,000,000","260,000,000","261,000,000","263,000,000","264,000,000","266,000,000","272,000,000","275,000,000","281,000,000","284,000,000","290,000,000","293,000,000","298,600,000","298,000,000","293,000,000","290,000,000","286,000,000","258,000,000","219,000,000","182,000,000","125,000,000","84,000,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhatsApp,WhatsApp,https://seeklogo.com/images/W/whatsapp-icon-logo-BDC0A8063B-seeklogo.com.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,300,000","21,000,000","50,000,000","70,000,000","89,000,000","118,000,000","138,000,000","157,000,000","186,000,000","208,000,000","218,000,000","233,000,000","243,000,000","295,000,000","346,000,000","397,000,000","473,000,000","533,000,000","635,000,000","702,000,000","796,000,000","863,000,000","965,000,000","1,033,000,000","1,136,000,000","1,204,000,000","1,304,000,000","1,373,000,000","1,475,000,000","1,507,000,000","1,525,000,000","1,537,000,000","1,550,000,000","1,565,000,000","1,573,000,000","1,585,000,000","1,593,000,000","1,605,000,000","1,613,000,000","1,618,000,000"
