reviewId,content,score
8b057f43-f921-4a63-b17a-a7faaf1c631c,Md siyam,5
d0a3440b-19e6-4e7b-8c89-d047e119c42f,Its lovely,5
1ec02f1b-9566-45a7-bd54-0b147456ce18,Notifications 😭,1
76ebbb0e-b3ee-4fcf-b4fe-184102859ec8,Very ñice kherli,5
095f25cd-5902-4a7e-82b3-448f2cd4a1b4,I have a good girl who are you going to snapchat,5
aa1fd2ee-d36e-4ce0-8e57-bd9068cfbf3e,🧢 and the are 9th 🕖 and 4th floor of our home and I was thinking 💭 a few days after the fact I had been working ⚒ in my office 🏢 for my own life but not sure how I could make that change so jjkkkkkkkkjjhhh Ururiffujj,5
5a7f6a50-7f59-4773-a12c-0d1ff79f123d,Dahiru Hassan,5
fed17a80-3ca1-4190-a824-3718addf84b4,ID,5
a4338f4c-3711-4085-bf79-b56e44845bb6,Niaz awan ❤❤❤❤❤❤❤,1
438f234f-95ee-417f-8969-69c9d7fc5710,"Where I can see, the people I added",4
29bdcbc5-e2d3-4d52-8d6f-9c38ca2b7e15,Manish Manish randwa,5
bb55341a-b7e5-40b0-b2f4-4d1ad6c49763,Us I have a sb NM mm,1
bf7de7d7-91c5-4e87-9c82-ef82f1c65d4f,Best,4
e6d379d5-34c8-4cc1-8fa8-8f8870e1dfb8,"This app is full of people selling and buying lewd photographs. You should monitor the chats and prevent people from seeing stranger's genitals and asking to buy nudes. Create a separate app for that kind of content please, there are children on this platform.",1
ccf496cb-2264-47e3-a6e4-15e4f7022f68,Excellent,2
f2bbf0a2-002e-4cc6-a62d-5ca001543071,By ukoi of,4
1121d98e-c9d0-4047-8273-d03f4f88aea9,Sadinmajhi,1
34e6b7a6-f607-4269-84fa-2dcfe5a137ed,My mambé is sushma ho Planet app ubsknh m sorry kh t h planet app snapchat,4
f0ca5b18-b4b0-4e1b-aacc-3ad3825e86f9,Tiiojgd Frei p i,5
0a53fb3e-da63-4f58-bfe8-bfe214691af6,Best it was,5
2580a769-aef9-4290-81d9-474f3bfbd539,❤️❤️,5
139fa7fc-4d2f-40ee-bdee-508cb2e5fa7e,Mast hai,5
865e591e-10ce-4cff-b8e6-5948cc5e5fc0,5 years,5
bec144ba-2807-4012-b943-ba886755ff38,Good,5
f961925f-8eb2-4535-8816-f6a38311e435,Nice,5
f941c534-8cbe-490a-8b20-3b1f249bbc22,I like this Snapchat have will,5
29c1f690-c553-46f3-b987-34f5e4562716,Ondanks dat ik al die sl*tten in de Discover section telkens blokkeer komen ze toch iedere keer weer terug. Als ik iemand blokkeer heeft dat een reden. Hoef al die OnlyFans content niet te zien.,1
