reviewId,content,score
74b7d4ad-e748-4612-b9b9-c8c494b41227,Hello tiktok team Meri video viral kar da please @abbas_ali_abbas46,5
4a5dce50-7fd7-4482-9839-0c023ef81a2b,Muhammad Nadeem Nadeem,5
bacd5332-0f58-4abe-84ea-7866ec93586b,Having so many issues with tiktok,1
6fd4beba-3dad-4295-98c0-551d36095717,It keeps freezing when scrolling through videos,2
80855620-b25a-4436-9c58-33e0fc7fcfeb,Hello dear TikTok please unfreeze my acount my views problem 😭💔 solve m.pratham.batwal,5
2d947c1a-5b7f-4662-8385-ef2f49ffe1e0,Excellent,5
11fa2245-5f13-4670-a691-f1c27f95651e,I think that tiktok is a 3 star because I kept freezing and I tried to get off of tik Tok and it just kept switching videos I downloaded tik Tok was because I can see the videos my friend shared me but it just showed random videos and not the ones my friend sent me and it kept begging me to follow them,3
7e57084e-7268-4f23-af99-df5876068260,Sohan,1
bddb9242-3c39-4c2e-97f5-f0d589139a93,It's as a great review of story and view of cars ad gun anything.,4
dfe29b9d-db30-43bf-86f9-14e6d00a1366,Asad You,1
87bceb07-b533-4716-a25e-6b370c37a345,Good,5
d1babef8-c3bc-4294-be5b-799b1b193e7b,To many tic toc ads. Not interested!!!!,1
9516c06e-130f-4086-a999-e5656263f2a0,Keep crashing since last update,1
175473a1-afa0-476e-bf0b-e6efd6f13167,ওকে,5
781beb85-1de0-4a36-abd7-704c7cc039b2,Nice ☺️,5
3295848d-ca93-4ece-ad25-46a86887718c,Can't update or reinstall app why,2
b28d07d6-39da-49ec-a851-371bee81ff40,Nice app heppy this app,5
c81a8082-1f87-48cb-be41-204b0438da06,"Someone sends you a video in messenger or by text, it won't open and ask you to download the app even though you already have it downloaded.",3
3679edf6-dfa9-4854-b338-d61967c0e490,rapr,1
c713b6bc-5e29-4c29-9bb6-81246eb4521a,well done,5
94a27e45-2b20-457a-8e06-d181cb27cc1c,My name is Mohammed Kashim,5
a8a7f9e9-a2b1-4c49-a173-c42faa457756,"Development team check for exploits running persistentce module crashers on startup, exploits on screen mirroring, mod functions, DM exploits and chat exploits running on lives, and DM exploits allowing users to spoof accounts and mirror screens of users. Also check certificates with google play for past version exploits running clone software upon users with remote interference.",1
9a74ec79-9511-4c71-8336-0191c991cb1e,I can no longer login because my Appeal deadline passed. I don't know what happened and it dose not tell me what happened,1
de5e0a83-4ba7-4087-bcdc-0cc231c27ee0,add slideshows to google pixel and my life is urs🙏🙏😞,4
afd44035-b3d3-4e14-adfe-4b5533d032a7,Good,3
b91b7e09-25fb-45fd-af2b-a66c3dd1d0f5,Sahi,5
d1715d51-1aa2-4c7b-9124-45d2d62fcc22,Awesome app I think I love this app,5
f0795f40-6f84-4ea8-8396-c27132dd53fb,"Very glitch lately, every 5 posts the app freezes",2
8523dc6b-980f-4e4f-8440-2704107b4f95,tiktok alloys for you,5
d85421de-51c0-4748-9132-04ed8c57e86d,Stopped loading after android 15 update,1
bdce5d9e-fde0-42fd-8055-b8a5eec1b90c,Beautiful ❤️,5
cc8493df-7500-4d13-b167-9dabf9f3873d,It doesn't let me open the app cause of a Bug and all my other friends used if perfectly fine! It's a great app but I don't wanna lose my account or anything but love it! <3 (please fix it),3
f7be0d44-98aa-48a5-a4e6-3982a2f965ae,The amount of censorship on the comment section on this app is mental and ridiculous.,1
ed0eea8e-7a7e-4546-b7d9-57d933df9d27,Aghh okay,5
038eabdb-a121-4dfd-bf4a-0bb3778003e8,Welcome,3
4104f6a9-6333-4576-a106-8f0b1066cec5,Need to be able to open,4
f167423c-c5d7-41ab-b1d9-cef31844bd27,Why so slow,5
10746a0b-1789-4fbe-b217-11d456625d0f,The app keeps freezing and kicking me out the app.,1
eb37d634-bbf9-44e1-af11-80e92a79f610,Good,5
92ba5e5b-5da6-4dc6-9f64-e99765bcd09a,It sucked.,1
86270959-c1fe-4174-a0d2-aa77585220c8,A company whose product is so effective their competitors tried to outlaw them. Edit: reduced to 3 stars following the forced western integration and eventual quality degredation.,3
45065393-288b-4817-a030-a1f4a427a4ee,It's a great app,5
f41e3774-bfaf-48d8-b43d-c921e8670a1c,This last update is terrible!!! Can only look at a few before it freezes up and you have to close the app.,1
6c181cf6-581e-4bf9-9509-f4d361edc66c,I can't enjoy the app just keeps crashing or freezes after scrolling 2-3 vids then i have yo shut it down. BOOOOO,1
892a05a6-2d35-45e1-9f0d-b5931bd46666,😡😡😡😡😡😡😡😡😡,1
6bee6574-56ec-4df5-8e7c-2efd0dcba9f7,Awsom my favorite,4
2ae63fba-bc18-47da-909c-7fcf75d5351f,Holy I thought tiktok allowing death threats were joke guess not meanwhile my comment gets banned for pointing that out with no appeal death threat comment with insult stays lol no wonder tiktok is toxic sort this out Tiktok shop= Scam claims £100 voucher after checkout purchase didn't give a single one and only % off after £50 thats not a voucher,1
35e612ae-8aac-4af8-b175-360359fbd93c,It's amazing. But it keeps on freezing every time I swipe up or down.,4
f0141297-9929-4b1d-beaf-7b7e8b6d8a80,Nice,5
5fb5d5da-26fe-4792-9ddc-86f76e9b2390,"Don't download Tiktok, once u get to 10k followers tiktok will reduce your followers everyday, an let's say u follow back 20 people, tiktok will only allow u to accept 4 or 5 new followers daily but they reduce your followers by 5 or 10 daily in order to keep u from reaching back up to 10k followers, I am looking to take them to corth for this monstrosity because they have no intentions of fixing this problem because it is designed to keep u from getting paid so all that hard work for nothing.",1
300edf35-8c96-4518-8b13-23062a5ffa53,I love the videos 📹.I watch them for over one hour at a time.,2
d7f470f2-a35e-4d0b-ac75-aac3ee6bf0f1,Nice app,5
a619aaf8-f8fe-4691-b07a-dd10264c5015,I love the Tik Tok stuff. I think about using voice changer in it too. (If I could get it).,5
13b01dad-7588-4932-aaa6-6d0c8b9c4982,i love this app,5
563bd81d-3835-4698-ab1d-094a46606d8f,Censors posts that aren't offensive and allows offensive posts to remain,1
d5d9d7ce-8688-45e8-8cb5-165466f42089,"I hate this dang app because of how proprietary they try and act with shared links to videos. You try and open a sent link and it won't let you unless you open and sign into the app.. Well okay fine then, I'll open it to watch the video, then once your signed in, it will show you ANY OTHER VIDEO than the one video link that was sent to you and words cannot express how much I hate the app for this single..solid..reason.",1
7eb80da0-0f61-4b24-aad0-89a2e06c83a7,Is very good,5
b21f5b33-e7e3-484c-aa87-433e3e6bdb9a,Nice👍,5
83e25177-4cf3-45e3-86e7-7192f5b213f7,I didn't get All type of feature on TikTok like as change country rejoin change many more that way I leave tiktok 😭😭😭,1
3287fc7a-3c5c-4e4c-92db-3653d2ad2eb4,I guess I will learn.,3
b0870ff3-344c-4059-82e4-20d98b7273ce,It keeps closing out,1
b54ec187-888b-4b0f-8dfa-19717a57a239,🤍🤍🤍,5
a4c03fd1-d6ff-4343-a407-8337059d1eda,My app keeps freezing hurry and send a fix,1
75924eba-ad9f-45f2-871e-127133170cf8,🥰,2
0adff8f8-64e9-4ec2-9630-4645dcc1df07,Nice 😍,5
37f684a4-0bfe-43d0-82b3-79fa780906d8,Wow!!!!,5
34f9f587-c937-4102-9181-aa400a7a41a9,Lately it has been freezing up for 2 days now every minute,1
b4a99379-d20e-4f80-b8a4-607e560d1696,Good,5
42bea0ed-73b2-4822-b861-f54591dba1b1,"The platform has some great resources however your infraction/reporting system needs a major overall. For example, you have cheaters getting banning overturned but then have that same report used against them in a permanent ban. When you do this you give the Karen's and anti free speech seekers a weapon to hold while their targets are powerless to resist and are left to deal with the consequences. This needs to change.",1
157519ed-5ab4-457a-aaa7-9284bce55faa,👍,5
36f67082-18da-452c-aa39-6eed1e5ee7f2,Big ben is here remember them day when yal would say I am here no you do not you lost all your memory will become a true statement how it is for me but maybe not lost maybe I made some kind of deal but I can not remember you know feeling,5
25d3f876-0bb1-4465-8188-2e4f0079f24d,I love tiktok I like everything about it,5
b472f106-d73e-436e-b1d9-5a432f6db21b,"Overall worst moderators ever, individuals get away with whatever that want, like naming themselves kill.yourelf.now and because of the peeuids it's no violation",1
94c30c9f-96f7-4523-91fc-4cb071ac2ea6,"I absolutely love TikTok—it's the best app out there. However, I’m frustrated because watching it for extended periods causes screen burn-in on my phone. This is my third device I've had to replace for this reason. It’s essential that you implement an option to keep the app in full-screen mode until I decide to access the home settings again. If this feature is added, it would definitely earn a five-star rating from me, but I shouldn’t have to replace phones because of this issue.",3
eb54ca5a-e866-4d82-90e0-3e378b3dd032,"It could be better by giving the option to people who want to delete their account permanently without waiting 30 hours because it can be addicting and people want to make the decision right there and then and not look back. But other than that, fyp has been on a generational run.",3
b784bcc6-1621-4cb5-89d7-921e8efac090,The app is having problems keeps saying not connected to internet when it is connected Won't let me like or favorite a clip have to turn off the TikTok app an restart it to get it to reconnect to wifi connection It still loads an plays clips when it says it is not connected to wifi with cell data turned off an I keep getting at times a tik tok app not responding shut down app or wait for TikTok app to respond I even uninstalled TikTok and then reinstalled it An that didn't fix it Maybe badupdate,2
0359c5c7-1507-4498-ba0b-6e9517687f4c,Super memory consuming!,2
a24a35d4-86f1-43e4-9551-b8e872b7d94c,Really fun/nice app,5
313caa79-8c91-400e-950a-fa7d8a886a55,"Love the app and it's content. My only issue is that it continues to freeze/buffer even while using Wi-Fi. 1 -2 scrolls and I'm exiting the app, ughhh Please fix it.",4
b8f813cd-0f14-41a9-9a93-dfffc90f0a8a,Beralin,2
9e01acfc-eca4-4d4e-bd63-7ad3517e2b3a,Sound on some videos likes doing it twice,2
b404a1d6-5470-4191-9bb8-adb3f2287f51,I was stopping ugly 😭 stop being haters 🤬 everything that would be good,5
df97d6bc-08d4-4883-aefe-b979a2cdf1e9,Good soccer,5
8cda6731-72fa-421b-83d0-b4ed967caac5,Tobey henry ♥️,5
e41bfec8-f410-4db4-8298-495bf94e0d90,Too slow on Android 6 itel s11,2
08a9b527-32ba-483e-ba51-ac54ac782360,"Very nice app,",5
20e20ffa-044d-41c6-b9fc-133620e94fe5,This is my new update,5
111fef57-0753-4258-9660-66e99ddba856,ကခဂဃင,1
244f09e4-36c1-407f-92bb-e7d562dc8d07,Haru,5
b06fdc6a-6efb-4664-b806-cf86968611ac,BEST APP FOR MAKE CASH 💸,5
dab128b8-197c-4753-b432-c8896c69699f,Garbage only use if you are feeling zesty (edit) this app still sucks (edit) this app is still no good,1
4241277f-53e1-4302-94d0-db5d1004eab4,Give me back my editing tools,1
3fa76c8e-f74e-4c9d-b68d-61e288469d86,Good,5
b8fca3f3-6bd0-4983-be82-4a85c4b4fcba,"It does not go along with me. Word from The Projecttian, associated with The Deven Department.",1
42ca4318-ef9b-46d8-96cc-ba26786bb899,"Tik tok live has got to be one of the worst features of any app ever made. The fact you used to be able to disable live videos from popping up on my fyp and then that was removed is an absolutely braindead decision. While yes I block all those who do live broadcasts the apps design is further made with brain rot due to the ""live sessions"" that's not at all different to a normal live but for some dopey reason it takes 2 long loading pages to get to the actual account to block them. too sexual",1
2167fcc7-c8e3-4951-aa33-54105dd7d313,tiktok is a really nice app to use when you want to just be cozy and scroll through videos.,5
68a5d57d-3585-4453-b75c-1f240ef8145e,I LOVE DIS APP BUT I ALWAYS GET BANNED EVEN THO IM 14+LIKE GURL,5
e6f78847-c4d0-4993-b478-3dfd4e4d5b14,"Tiktok too soft, bye.",1
a66198d4-a8d6-42ae-a0c6-8a4b3515e4ae,Zero,1
882dfe53-ea8b-49c2-9841-be77db2a2c02,It won't let me look up,1
52cf58ec-ea33-4980-9d62-2ac0bd93424b,Nice tiktok,1
9b6eef6e-ee7b-4e25-8608-bbf9020fb219,Hello TikTok Team... Due to some mistake of mine my tik tok account has been closed so I request you TikTok Team to return my tiktok account to me because It’s my personal account I regularly kindly unbanned my TikTok account as soon as possible🙏 And I will never do these mistakes again Thank You TikTok Team❤️,5
e55fd5d4-deb8-483e-8985-bf4ae82ea96f,Keeps me laughing all day and all night. When I need a good laugh...,5
1545a369-eeaa-4527-bcaa-41423787380b,Nice app for videos and money making,4
3efe4e89-8710-43d3-b670-8e74671e1f0c,Very entertaining app,5
807f03fa-4afe-43a7-a43e-1eef1adc24ec,It's fun,5
784fb249-6e7e-451c-92c5-78902dbb1942,App keeps freezing and crashing when I try to use it. Started happening recently :( plz fix,2
6302af4b-3ee6-4619-9ebd-c5736f18891c,So beautiful❤❤❤✨✨,5
85a19d17-1db7-462f-ba4f-a7038384b406,Nice one hottest,5
7da1e849-b4d7-4ca9-9508-f339ddd65ef4,hey tiktok 🥰 so like we need the old repost button back and tiktok group chats please n thank uuuu !! 😜🙏,4
9d62c504-4851-4d52-b8e2-f5732f9c0eb4,Addicting,1
f68c0068-bdef-4d8d-979d-8e7bb57fcb4f,Absolute 10/10 Highly recommend 😌😌,5
7e0efcd7-22b4-4732-9f82-cc0abb6ee416,______________________________________________ Hello Tik Tok Team I have been working hard on Tik Tok for quite some time and have been posting very good videos. Please check my account and unfreeze thanks Tiktok Username (......... ) my gmail (..........)😭😭😭😭😭 ahsanjan24,1
01945e1a-2e6f-412d-8bf4-83f197eed62f,"TikTok is mostly insanely desperate women with zero skills flaunting their bodies , and desperately seeking approval from a bunch of lowlife losers...",1
01e0bf47-7cbc-4850-91a8-0945b1895871,good app,5
0a3e6de5-645d-4a5a-b00e-b86da3a1b65a,It keeps crashing all of a sudden,3
0e03cd44-9c4f-4416-afed-f869e4a3cab6,💋💋💋💋💋🤣🤣,3
d19a1b08-1922-4e68-a481-8e5f3921a561,Best,5
3cb7d481-980c-48c8-a0c8-64bedcab9e46,Its amazing,5
6bfd4288-02f1-464b-8c62-67fda588c40e,Keeps logging me out,1
d39a5a84-305a-4483-9f14-a5b2b29b44ba,Tik Tok,5
628b0952-34ec-4553-b9eb-48b34d800c63,This app just keeps me scrolling and I love it,5
5c789126-6535-4af0-96f8-c303a0ada32f,A friend of mine is being harassed and doxxed by a man she doesn't know. He is publishing her personal info on public videos. The videos were reported but TikTok refuses to do anything. Probably the bots that do their moderation,1
08b6e921-8c8e-409f-8610-3d99ef0432bd,Nice app Good job tiktok,5
298d2615-a6f6-4563-9e74-0ef54e1e7033,Breath taking,5
9551ad39-b9bd-419a-b5f0-c7ee3e4ae2f8,Well ASQUARE appointment Pokhara leak side jarebaer,5
d3d4da02-b1ed-4ad7-9196-bd79d799119f,I LOVE TIKTOK ITS MY FAVORITE APP,5
645c08f1-27a9-4404-a33a-fb4523ff91bf,naice,5
0c7e3060-6e38-4bab-99d0-21faa24db96c,"When I find a video in Google on tiktok just let me watch it. Don't make me install the app but if I do install it then don't also force me to scroll down and hunt for the video I wanted to watch, just show me the effing video. How do people actually like this app!?",1
cc979a69-63fc-4305-8c83-1d6845e72703,Hello friends in this video I will describe you how to fix account warning on tiktok | tiktok account warning problem solved 2023 | tiktok account warning problem tiktok account warning | tiktok account warning problem and solution | How to fix account warning on tiktok | how to set Tiktok account warning | tik tok account warning ko kaise theek Karen New setting...,1
afad7f94-fe1d-4a67-b43e-c46e8bf6f86f,Tonywnance,1
e06a41bd-9141-4a27-9b20-458a013ba4c9,"Because I amon a no sugar and. No salt diet, fidingnew recipes used to be difficult. Taste of home offers so many unique recipes, it's simple to find great ones that remain delicious even after using sugar and salt substitutes!!",5
88bb549f-84c4-4242-9fd6-ffeda5aba6df,It won't let me play the video a friend sent me and yes I have the app for all the good it does.,2
cd3e8c9b-7e62-4419-8003-c78ba35a5368,Love it this app so much It th best app for making money,5
bcb42c0a-6a17-4190-9f2c-9066656a4960,I love it I can be on it for ever all day and also you can find people Tiktok page that you like know,5
7191774a-0432-4523-b00e-afcb1ecf85b5,"So many of us are having glitching issues lately! Can't scroll, freezing constantly, shuts down with no warning! Fix this TikTok!!",2
f600bb23-dcff-4ad7-9eab-521fe291e61e,can't multi select unavailable videos to delete them in one step. also the favorites list loaded from the first video when delete unavailable videos.,2
f39151d2-db94-4c3a-8601-c7cc41c26967,It won't let me sign in,4
50502fbc-7c3c-444c-a172-79492e573478,my account on prz for,5
e8dc2ca5-147a-449e-8695-c86e9ae68c42,It is working slowly,1
d5098383-7912-4ad0-a032-5c248e4ccdcf,Very nice app 👍👍,5
2f75f8f8-c1af-4b47-8d08-c51bc41d01ec,They'll let pedophiles on this app and let them talk about how they don't see what they did was wrong and promote raping underage children and that's okay. That's not against the community guidelines. But God forbid you speak your mind on the app and they'll permanently ban you for no reason. Parents beware because this is a pedophiles paradise.,1
1ce3285a-36f2-4a9e-836e-4c5d7d98b8ae,Constantly crashes over and over and over. I can't get through 15 min without it crashing,1
9e934a20-719f-4765-a9d4-fa1d83739eb8,So nice,5
20662b05-c7d1-402c-9445-eca1dc587e46,Please My account warning remove I'm dont send again any videos in public violations,5
75d4a0d1-9bad-4a3e-9bb4-1b230569eafd,Good 👍💙💞💙💞,5
e74ab7c5-2249-4b28-a2a7-e8ffb0fd3d4b,Some features stop working right when a new update gets released.,1
f6b2e7e6-7e45-42d0-afd0-28694069ec8c,Because,5
98a5a394-4197-47fe-bb76-fdad2871cdf4,"you can't cuss in your comment without it being removed, or post videos using specific words without getting banned. this apps just gone very downhill",1
2c2c1005-b390-4e15-97a8-a9ccaa38bebc,"My fyp just got broken and I lost all the contents I like, even after resetting I keep getting weird videos no matter what",1
ab53391c-4fe3-47d7-be6c-7a1d1d96afb5,Tiktok is amazing I can show my feelings and talk to friends,5
0eda32ba-3040-435f-a2d9-de40e4a5da37,this is a very amazing app,5
f90ec072-457c-4684-a65d-35ea3a08d4be,Help me,1
4a5657f6-089c-4dde-8ae0-9b9cbe38231c,this app usually freeze and it also require to be uninstall & be installed again bit great intertaiment tho,2
a41af517-2df7-47b5-b555-1781bd5a414e,Worst app ever,1
