#;Keyword;Country;Difficulty;Volume;CPC;CPS;Parent Keyword;Last Update;SERP Features;Global volume;Traffic potential;Global traffic potential;First seen;Mobile;Desktop;Growth (3mo);Intents
1;how to uninstall valorant;ua;1;100;;;how to uninstall valorant;09.10.2024 21:40;Featured snippet,Thumbnail,People also ask,Video preview;62000;10;29000;15.04.2020;0.05;0.95;;Informational,Branded,Non-local
2;how to get voice chat on roblox;ua;;;;;;;;29000;;;05.09.2021;;;;
3;how to play fortnite;ua;;;;;;;;22000;;;10.03.2018;;;;
4;how to make a minecraft server;ua;38;10;0.09;;how to create minecraft server;08.10.2024 22:24;Featured snippet,Thumbnail,People also ask;21000;10;3600;12.01.2018;0.19;0.81;;Informational,Non-branded,Non-local
5;how to make smooth stone in minecraft;ua;;;;;;;;18000;;;25.01.2020;;;;
6;how to teleport in minecraft;ua;;10;;;;;;17000;;;16.01.2020;;;;
7;how to allocate more ram to minecraft;ua;;20;;;;;;17000;;;06.08.2019;;;;
8;how to download minecraft;ua;;10;;;;;;16000;;;13.03.2016;;;;
9;how to make paper in minecraft;ua;;;;;;;;15000;;;24.12.2015;;;;
10;how to get honeycomb in minecraft;ua;;10;;;;;;15000;;;22.03.2020;;;;
11;how to make a saddle in minecraft;ua;;10;;;;;;15000;;;29.07.2016;;;;
12;how to make concrete in minecraft;ua;;10;;;;;;15000;;;25.10.2017;;;;
13;how to make a map in minecraft;ua;;;;;;;;14000;;;24.12.2017;;;;
14;how to make minecraft in infinite craft;ua;;;;;;;;14000;;;25.02.2024;;;;
15;how to install minecraft mods;ua;;20;;;;;;13000;;;28.05.2016;;;;Informational,Non-branded,Non-local
16;how to get minecraft for free;ua;;10;;;;;;13000;;;10.01.2020;;;;
17;how to play fortnite on iphone;ua;;;;;;;;12000;;;03.12.2020;;;;
18;how to play minecraft;ua;;;;;;;;12000;;;26.12.2015;;;;
19;how to delete roblox account;ua;;30;;;;;;12000;;;25.01.2020;;;;
20;how to make a roblox game;ua;;10;;;;;;11000;;;13.01.2020;;;;
21;how to get better at fortnite;ua;;;;;;;;11000;;;26.09.2018;;;;
22;how to make fortnite in infinite craft;ua;;;;;;;;10000;;;16.03.2024;;;;
23;how to redeem roblox gift card;ua;;;;;;;;9700;;;17.08.2020;;;;
24;how to make a book in minecraft;ua;;;;;;;;9400;;;24.12.2015;;;;
25;how to cancel fortnite crew;ua;;;;;;;;9100;;;30.01.2021;;;;
26;how to win fortnite;ua;;;;;;;;9000;;;24.02.2020;0.01;0.99;;
27;how to breed horses in minecraft;ua;;;;;;;;8900;;;19.10.2019;;;;
28;how to play fortnite on school chromebook;ua;;;;;;;;8800;;;08.08.2020;;;;
29;how to make a bed in minecraft;ua;;;;;;;;8600;;;07.11.2015;;;;
30;how to change fortnite name;ua;;;;;;;;8300;;;10.02.2020;;;;
31;how to make terracotta in minecraft;ua;;;;;;;;8300;;;16.02.2020;;;;
32;how to download fortnite;ua;;;;;;;;8300;;;20.12.2017;;;;
33;how to make roblox in infinite craft;ua;;;;;;;;8300;;;25.02.2024;;;;
34;how to delete valorant;ua;2;80;;;how to delete valorant;18.10.2024 8:12;Featured snippet,Thumbnail,People also ask;8100;30;2500;28.05.2020;0.06;0.94;;Informational,Navigational,Branded,Non-local
35;how to mod minecraft;ua;;10;;;;;;8100;;;30.11.2018;;;;
36;how to make a gamepass on roblox;ua;;;;;;;;8000;;;18.12.2016;;;;
37;how to change minecraft skin;ua;;;;;;;;8000;;;12.10.2015;;;;
38;how to play minecraft with friends;ua;22;70;;;how to play minecraft with friends;14.10.2024 23:02;Featured snippet,Thumbnail,People also ask;7900;20;150;17.09.2015;0.23;0.77;;Informational,Branded,Non-local
39;how to make green dye in minecraft;ua;;;;;;;;7800;;;23.01.2020;;;;
40;how to play roblox on school chromebook;ua;;;;;;;;7800;;;23.10.2020;;;;
41;how to check sims on cnic;ua;;;;;;;;7800;;;01.07.2020;;;;
42;how to play roblox;ua;;;;;;;;7700;;;26.01.2018;;;;
43;how to make glass in minecraft;ua;;;;;;;;7600;;;05.02.2020;;;;
44;how to get roblox voice chat;ua;;;;;;;;7600;;;14.03.2022;;;;
45;how to get free skins in fortnite;ua;;;;;;;;7600;;;19.01.2020;;;;
46;how to add mods to minecraft;ua;;10;;;;;;7600;;;09.04.2019;;;;
47;how to host a minecraft server;ua;;10;0.15;;;;;7500;;;22.01.2020;;;;
48;how to tame a cat in minecraft;ua;;;;;;;;7500;;;23.02.2020;;;;
49;how to make potions in minecraft;ua;;;;;;;;7500;;;05.07.2019;;;;
50;how to teleport to coordinates in minecraft;ua;;10;;;;;;7300;;;29.12.2018;;;;
51;how to tame a horse in minecraft;ua;;;;;;;;7300;;;30.11.2016;;;;
52;how to level up fast in fortnite;ua;;;;;;;;7200;;;20.01.2020;;;;
53;how to download minecraft for free;ua;;10;;;;;;7200;;;05.11.2018;;;;
54;how to do split screen on fortnite;ua;;;;;;;;7100;;;03.04.2020;;;;
55;how to enable cheats in sims 4;ua;;;;;;;;7000;;;18.02.2020;;;;
56;how to make a campfire in minecraft;ua;;;;;;;;6900;;;06.02.2020;;;;
57;how to play fortnite on chromebook;ua;;;;;;;;6800;;;26.05.2020;;;;
58;how to get marble in lego fortnite;ua;;;;;;;;6800;;;07.12.2023;;;;
59;how to make fireworks in minecraft;ua;;10;;;;;;6700;;;20.11.2017;;;;
60;how to make a fence in minecraft;ua;;;;;;;;6700;;;23.12.2015;;;;
61;how to make fortnite in infinity craft;ua;;;;;;;;6400;;;02.03.2024;;;;
62;how to enable voice chat in roblox;ua;;;;;;;;6400;;;22.03.2021;;;;
63;how to play fortnite on pc;ua;;;;;;;;6400;;;04.03.2020;;;;
64;how to make a shield in minecraft;ua;;;;;;;;6300;;;09.09.2015;;;;
65;how to update roblox;ua;;10;;;;;;6300;;;21.12.2019;;;;
66;how to get vc on roblox;ua;;;;;;;;6300;;;31.03.2022;;;;
67;how to make obsidian in minecraft;ua;;;;;;;;6200;;;08.03.2020;;;;
68;how to get knotroot lego fortnite;ua;;;;;;;;6200;;;08.01.2024;;;;
69;how to get voice chat in roblox;ua;;;;;;;;6200;;;09.11.2021;;;;
70;how to enable 2fa on fortnite;ua;;;;;;;;6200;;;11.02.2020;;;;
71;how to create a minecraft server;ua;;10;0.06;;;;;6100;;;22.08.2018;;;;
72;how to make a game on roblox;ua;;;;;;;;6100;;;04.02.2020;;;;
73;how to get aimbot in fortnite;ua;;;;;;;;6100;;;16.03.2020;;;;
74;how to get good at fortnite;ua;;;;;;;;6000;;;15.01.2020;;;;
75;how to breed axolotls in minecraft;ua;;;;;;;;6000;;;08.06.2021;;;;
76;how to tame a fox in minecraft;ua;;;;;;;;6000;;;15.02.2020;;;;
77;how to make saddle in minecraft;ua;;10;;;;;;6000;;;09.11.2019;;;;
78;how to make a lead in minecraft;ua;;;;;;;;6000;;;12.01.2020;;;;
79;how to download roblox;ua;;;;;;;;5900;;;12.02.2020;;;;
80;how to make mud in minecraft;ua;;;;;;;;5900;;;04.11.2020;;;;
81;how to make a compass in minecraft;ua;;;;;;;;5800;;;24.12.2017;;;;
82;how to make a circle in minecraft;ua;;;;;;;;5800;;;22.12.2015;;;;
83;how to turn on voice chat in roblox;ua;;;;;;;;5800;;;02.03.2021;;;;
84;how to find trial chambers in minecraft;ua;;;;;;;;5700;;;16.02.2024;;;;
85;how to rotate items in sims 4;ua;;;;;;;;5700;;;22.05.2019;;;;
86;how to get smooth stone in minecraft;ua;;;;;;;;5600;;;24.03.2017;;;;
87;how to get shaders in minecraft;ua;;;;;;;;5600;;;06.03.2020;;;;
88;how to hack roblox;ua;0;10;0.02;;roblox hack;05.10.2024 9:34;Video preview,People also ask;5600;40;12000;17.01.2016;0.66;0.34;;Informational,Branded,Non-local
89;how to appear offline on fortnite;ua;;;;;;;;5600;;;03.08.2021;;;;
90;how to update minecraft;ua;;;;;;;;5600;;;10.04.2019;;;;
91;how to make a game in roblox;ua;;10;;;;;;5500;;;10.09.2015;;;;
92;how to change minecraft username;ua;;;;;;;;5500;;;19.03.2020;;;;
93;how to make an anvil in minecraft;ua;;;;;;;;5400;;;24.06.2016;;;;
94;how to get fertilizer in lego fortnite;ua;;;;;;;;5300;;;01.01.2024;;;;
95;how to redeem fortnite gift card;ua;;;;;;;;5300;;;16.06.2020;;;;
96;how to download fortnite on pc;ua;;;;;;;;5300;;;06.07.2018;;;;
97;how to download minecraft in free;ua;;;;;;;;5200;;;28.07.2021;;;;
98;how to play roblox on chromebook;ua;;;;;;;;5100;;;04.07.2020;;;;
99;how to change name in valorant;ua;;;;;;;;5100;;;15.04.2020;;;;
100;how to make stone bricks in minecraft;ua;;;;;;;;5000;;;01.02.2020;;;;
101;how to thank the bus driver in fortnite;ua;;;;;;;;4900;;;08.07.2020;;;;
102;how to change your name on fortnite;ua;;;;;;;;4800;;;13.03.2020;;;;
103;how to split screen fortnite;ua;;;;;;;;4800;;;29.10.2020;;;;
104;how to get fortnite on iphone;ua;;;;;;;;4800;;;21.06.2021;;;;
105;how to gift skins in fortnite;ua;;;;;;;;4800;;;10.05.2021;;;;
106;how to make a bow in minecraft;ua;;;;;;;;4800;;;07.11.2015;;;;
107;how to change your fortnite name;ua;;;;;;;;4700;;;04.02.2020;;;;
108;how to download minecraft mods;ua;;;;;;;;4700;;;18.01.2020;;;;
109;how to make bricks in minecraft;ua;;;;;;;;4700;;;09.02.2020;;;;
110;how to uninstall fortnite;ua;;;;;;;;4700;;;30.10.2018;;;;
111;how to get bot lobbies in fortnite;ua;;;;;;;;4700;;;17.06.2021;;;;
112;how to make a boat in minecraft;ua;;;;;;;;4600;;;23.08.2017;;;;
113;how to make a banner in minecraft;ua;;;;;;;;4600;;;22.08.2019;;;;
114;how to merge fortnite accounts;ua;;;;;;;;4600;;;11.03.2020;;;;
115;how to make a bookshelf in minecraft;ua;;;;;;;;4600;;;24.12.2015;;;;
116;how to thank the bus driver in fortnite pc;ua;;;;;;;;4600;;;15.12.2021;;;;
117;how to get a command block in minecraft;ua;;;;;;;;4600;;;29.03.2020;;;;
118;how to make a cake in minecraft;ua;;;;;;;;4500;;;20.04.2017;;;;
119;how to make a lantern in minecraft;ua;;;;;;;;4500;;;18.02.2020;;;;
120;how to change valorant name;ua;;;;;;;;4500;;;16.07.2020;;;;
121;how to turn on footsteps in fortnite;ua;;;;;;;;4500;;;26.11.2022;;;;
122;how to make minecraft server;ua;;10;0.09;;;;;4400;;;03.07.2019;;;;
123;how to install minecraft shaders;ua;;10;;;;;;4400;;;17.04.2017;;;;
124;how to mod sims 4;ua;;;;;;;;4400;;;22.04.2020;;;;
125;how to install minecraft forge;ua;;10;;;;;;4400;;;21.09.2017;;;;
126;how to find diamonds in minecraft;ua;;;;;;;;4400;;;06.05.2016;;;;
127;how to delete a roblox account;ua;;;;;;;;4400;;;28.06.2020;;;;
128;how to see coordinates in minecraft;ua;;;;;;;;4400;;;14.11.2020;;;;
129;how to tp in minecraft;ua;;10;;;;;;4400;;;08.05.2017;;;;
130;how to whisper in minecraft;ua;;;;;;;;4400;;;05.06.2020;;;;
131;how to make a furnace in minecraft;ua;;;;;;;;4400;;;11.01.2016;;;;
132;how to hack in roblox;ua;1;;0.01;;roblox hack;28.09.2024 2:22;Video preview,People also ask;4400;40;12000;19.01.2020;;;;Informational,Branded,Non-local
133;how to sit out in fortnite;ua;;;;;;;;4300;;;08.01.2021;;;;
134;how to install sims 4 mods;ua;;;;;;;;4300;;;01.09.2019;;;;
135;how to make a beacon in minecraft;ua;;;;;;;;4300;;;08.02.2020;;;;
136;how to craft a saddle in minecraft;ua;;10;;;;;;4300;;;17.03.2020;;;;
137;how to change your name in fortnite;ua;;;;;;;;4300;;;08.02.2020;;;;
138;how to gift in fortnite;ua;;;;;;;;4300;;;22.03.2020;;;;
139;how to get green dye in minecraft;ua;;;;;;;;4200;;;07.03.2020;;;;
140;how to remake in valorant;ua;;10;;;;;;4200;;;13.02.2021;;;;
141;how to play minecraft for free;ua;;;;;;;;4200;;;11.01.2020;;;;
142;how to download minecraft for free on your phone;ua;;;;;;;;4200;;;07.09.2021;;;;
