id,description,title,repin_count
21181060741374444, ,,0
21181060741360357, ,,0
21181060741360356,"The Toppu Mini Bowl is part of the popular Toppu series. The TOPPU series consist of decorative designs in ceramic and is one of our most popular design. TOPPU was first presented in the SS17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. Use the bowl as a decorative element or for storage. Available in several colors and sizes. The series is made of 100% ceramic and is handmade.Product Overview",Toppu Mini Bowl in Caramel / Rose,0
21181060741360355, ,𐀔,0
21181060741360353, ,,0
21181060741360352, ,constellation,1
21181060741360346, ,,0
21181060741360345,Blomb No. 03 50ml Eau de Parfum – Altar PDX,,0
21181060741360344, ,,0
21181060741360343,"Pyxis: This shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath.",Celestial Sphere Gelée Eye Gloss: Pyxis,0
21181060741360342, ,Marshmalow flowers @inspirationbyblanca,1
21181060741360341,"One of a kind matte white hand-built ceramic candelabra. Fits 3 candles. Includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. Handmade by Dina No in Portland, OR.",Dina No Ceramic Candelabra  No. 13,0
21181060741360340, ,,0
21181060741360339, ,,0
21181060741354587, ,,0
21181060741341149, ,🪞,0
21181060741267134, ,,2
21181060741267132,"""Playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. Pick your favorite color or get mix of green and pink stripe set. Melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (Heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   FEATURES Dishwasher safe - top rack only. BPA free. Not suitable for microwave. Durable. SPECIFICA",Melamine Vintage Style Striped Dinner Plates Set of 4pcs - High Quality heavy plastic -,0
21181060741267128, ,,0
21181060741267126,Set Of 4 Colourful Stripe Side Plates,,0
21181060741267125, ,Squiggle Frame CUSTOM/ MADE to ORDER,0
21181060741267123, ,,2
21181060741267119,Pop art hues with handmade decoupage beads covered in gorgeous vintage prints,Lenora Dame Queen Mum Lipgloss Choker Necklace,1
21181060741267118,Amanda Lucia Côté | Large Bowl | Mociun,,0
21181060741264614,"I WANT CANDY! When we think of Valentine's Day, we think of lots of pink and red hearts, sweet treats, handmade valentine cards, and tons of candy! So today, we're showing you a super fun way to incorporate chocolate and candy galore with a fun sweet treat charcuterie board (aka our dream come true!). Check […]",,4
218143175694260285, ,,0
218143175693460410,Nora Storage Cabinet Tall White with Glass Doors & Curtains,,0
218143175691958559,Aria Linen Tiered Midi Dress | Turmeric | Dresses | Shona Joy – Shona Joy International,,1
218143175691406015,REGULAR CROPPED STRETCH Jeans - Blue - Trousers - ARKET WW,,0
218143175691406008,Women 100% Extra Fine Merino Ribbed Turtleneck Jumper (2020 Season) | UNIQLO UK,,0
218143175690763476,Black Leather espadrille platform sandals | GIANVITO ROSSI | NET-A-PORTER,,4
218143175687384093,"Blue Fescue is a perennial grass that grows in fat compact tufts. Its ice blue color is striking and it's shaped like a hedgehog. Perfect in a cactus garden, edging a bed of cut flowers, or massed as #gardeninginpots #perennialsinpots",,0
218143175687384092,3pc Fescue Grass Elijah Blue - Cottage Hill,,0
218143175687180978,Refined French Backyard Garden Décor Ideas,,4
218143175687180976,Refined French Backyard Garden Décor Ideas,,2
218143175687178759,French doors are so beautiful.,,2
218143175687444616,"Jackie, 44, English, introvert, tea drinker, procrastinator. Hello, nice to meet you :D What you see...",,4
218143175687444603,"GRDN in Boerum Hill, Brooklyn, New York / Darker than Green",,4
218143175687444600,"Vacker uteplats, krukor på altanen",,5
218143175687444596,backyard patio inspiration | backyard landscaping inspiration | patio furniture inspiration | small backyard design inspiration,,1
218143175687384373,blue fescue ideas - Google Search,,2
218143175687384053,brooklyn garden deck - Google Search,,0
218143175687188942, ,,1
218143175687188924,"#ASOCurrentlyFollowing:  A list of our favorite Instagram accounts, Pinterest boards, and blogs of the month.",,4
218143175687183567,Raised beds with gravel between.,,2
218143175687181047,"My French Country Home, French Living - Sharon Santoni",,0
218143175687181039,"With new guests coming in and out of Camellas-Lloret all the time, alfresco community dinners in the courtyard help everyone feel welcome. When Annie and Colin Moore restored their medieval home in small-town southern France, they knew they'd eventually want to open some rooms as a bed-and-breakfast. The garden was restored first, so its plants would be fully mature by opening day | archdigest.com",,3
218143175687181037,French Country Cottage by Courtney Allison,,2
188658671887934974,"Baby, it’s cold outside. Stay warm and look cool doing it with the ultimate coat guide from our editors. From statement pieces to oversized bombers and updated trenches, your outerwear game is ready for a refreshing overhaul.",The COAT Guide,0
188658671887930913,"Designer Emme Parsons makes dressing from the feet up an easy feat. Our Hero from the buzzy brand promises instant sophistication with a decidedly modern twist. You’ll love the walkable kitten heel, sleek pointed toe, and v-cut vamp—perfect for everyday and every occasion.",Emme Parsons,0
188658671887926198,Something to leave behind in 2023 is the stressing about what to wear—enter the best matching sets of 2024. These perfectly coordinating tops and skirts make dressing up for any winter outing a breeze.,STRIKE A MATCH,0
188658671887921919,"Health is wealth and if you need the motivation to recharge your wellness routine, let our latest edit inspire your next move. Incorporating daily self-care can be as simple as boosting circulation with facial tools, decrease screen time with classic board games that stimulate the mind, and break a sweat but look good doing it with cute and chic activewear.",WELLNESS BESTSELLERS,0
188658671887919377,"The best in beauty and skincare essentials are coming straight to your inbox with our curated edit of beloved brands and fresh products. From gua sha tools and enhancing eye masks to dewy lip glosses, we’ve got you covered.", NEW BEAUTY ARRIVALS,3
188658671887918878,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap ,10
188658671887918877,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap ,6
188658671887915912,"You can never have too much denim, it’s fact, so add these bestselling pieces to your personal collection for a head-to-toe update that will make you feel anything but blue. Horseshoe jeans from Citizens Of Humanity, the perfect oversized jacket from Simkhai, cool-girl bags from Jacquemus—carpe denim!",THE BESTSELLERS: DENIM Edition,16
188658671887909856,"Take a break from the winter wonderland and transport yourself to a far-flung destination where the sun is always shining. Our coveted edit is a paradise of wanderlust-inspiring resortwear well-suited for boat rides, walks on the beach, or lounging under the rays while sipping Aperol spritzes.",THE RESORT GUIDE,4
188658671887906126,"Symbolizing so much positivity—from strength and perseverance to love and friendship—January’s birthstone, the garnet, leads the New Year on a high note.",January Birthstone: THE GARNET,0
188658671887901591,"The cult-favorite ID series from iconic brand 3.1 Phillip Lim is back with a sophisticated new iteration our editors are obsessing over. The forecasted It Bag of 2024, our Hero is sleek and minimal yet utterly impactful. Available in multiple finishes and stylishly functional, you’ll want it in every color.",3.1 PHILLIP LIM,2
188658671887897637,"Start your New Year right with our edit of 24 must-haves for 2024. Meet your new wardrobe and beauty essentials: dressed-up flats you can wear from day-to-night, red lipsticks that will make you feel extra bold, dazzling hair accessories that make a big statement, and so much more.",24 MUST-HAVES for 2024,10
188658671887893518,NICE TO MEET YOU. Get to know SHOP BAZAAR editor Minna Shim and her fave fashion picks.,EDITOR'S PICKS,56
188658671887891260,"Sale season is the gift that keeps on giving well beyond the holidays—discover up to 40% off designer picks you can wear now, pack for your upcoming escapes, and then some!",SHOP BAZAAR SALE,1
188658671887890132,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,22
188658671887890131,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,12
188658671887890130,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,111
188658671887887644,"There’s always so much to look forward to in the New Year, especially the fashion trends on our editors’ radars. From gentle peach tones that inspire warmth and kindness to perennial chunky gold earrings and fancy flats that will make each step feel like a move in the right direction, these are the 2024 must-haves you need to know and shop.",THE 2024 FASHION TRENDS,7
188658671887884345,"100% free from toxins, fillers, artificial colors and fragrances, and synthetic chemicals, you know exactly what you’re putting into your skin with Tata Harper’s natural skincare collection.",TATA HARPER,1
188658671887879710,"There’s nothing like a home update to give you a fresh perspective and outlook on life. Whatever your personality, transform your space into a physical manifestation of your 2024 mood.",FEEL at HOME,1
188658671887874985,"Our editors always look forward to Donni.’s next drop and this season is no exception. Be prepared to wrap yourself in the coziest vest of 2024. Crafted with a polar fleece fabric and featuring a contrasting whip stitch, our Hero is the secret to looking cool while staying absolutely warm. With deep front pockets and the brand’s signature mother of pearl buttons, this is exactly what you want to wear to start off the New Year.",HEROES,57
188658671887871268,Scroll through our curated edit of new styles and brands you’ll want to wear to feel like the main character you are in 2024.,2024 NEW ARRIVALS,7
188658671887866680,Our editors share their 2024 fashion and beauty resolutions for a style refresh everyone can appreciate.,2024 STYLE RESOLUTIONS,2
188658671887863299,"Laid-back is the mood for Sea, with pieces that skew toward both casual and pulled-together. Shop the New York brand's easy dresses, detailed tops, and unique prints for a look that brims with authenticity.",SEA,3
188658671887862438,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,5
91620173664450814, ,,2
91620173664450810, ,,6
91620173664450805, ,,5
91620173664450788, ,,10
91620173664450787, ,,3
91620173664450766, ,,3
91620173664450688, ,,6
91620173664450687, ,,0
91620173664450683, ,,1
91620173664450682, ,,0
91620173664450681, ,,2
91620173664450679, ,,1
91620173664450678, ,,1
91620173664450672, ,,6
91620173664450671, ,,10
91620173664450667, ,,1
91620173664450665, ,,1
91620173664450662, ,,0
91620173664450656, ,,0
91620173664450625, ,,6
91620173664450617, ,,1
91620173664450613, ,,2
91620173664450611, ,,2
91620173664450607, ,,0
91620173664450589, ,,1
21181060741264613,"Mornings can be rough, but a healthy AND fun breakfast makes them easier, especially as we head back to school! So today, in partnership with Box Tops for Education, we’re sharing how to make this delicious Frozen Yogurt and Cereal Bark that both you and your kiddos will love! It may look like dessert, but […]",,0
21181060741264609,"Happy Friday! Today, we’re making an extra colorful and tasty treat for the weekend with the help of an unexpected material…bubble wrap. Yep! Bubble wrap! With a little bit of melting chocolate, sprinkles, and bubble wrap, you can make these super fun and tactile chocolate barks for kids. It’s a great recipe to let kids […]",,41
21181060741261454, ,,0
21181060741261453, ,Soft Jacquard Bedding Bundle - Pastel Blue / Large / Fitted,0
21181060741261452,Bouquet Floor Lamp | Urban Outfitters,,0
21181060741261451,Dushyant short sleeve boxy button up hand printed green chessboard print | Pipe and Row - PIPE AND ROW,,0
21181060741261448,Atelier Leda,,0
21181060741261403, ,,0
21181060741261402, ,ZIMMERMANN Embroidered Ginger Tropical Shirt,0
21181060741261401,"Prints that ensure a never-dull decor pattern this duvet cover and sham set cut from 300-thread-count cotton sateen for a luxurious night's sleep. Full/Queen set includes two Standard shams; King set includes two King shams 86"" x 86"" Full/Queen duvet; 20"" x 26"" shams 106"" x 92"" King duvet; 20"" x 36"" shams 300 thread count 100% cotton Machine wash, tumble dry Made in Portugal","Dusen Dusen Print Cotton Sateen Duvet Cover & Sham Set in Ivory Floral at Nordstrom, Size King",0
21181060741261400,Dotted Ames Switch Plate | Anthropologie,,0
21181060741261399,"New from Gemma Orkin, a limited run of vibrant and colourful ceramic plates, all hand made and hand painted in her Cape Town studio. In this fresh selection, Gemma's distinctive style involves the use of stripes and block work, resulting in eye catching and unique pieces. Each plate is handcrafted with care and attenti",,0
21181060741261398, ,,1
21181060741261393,Milla Pink Bird of Paradise Velvet Sofa – Ian Snow Ltd,,0
21181060741261391,"""- Handmade in USA - 23 Inch Length - 7mm - 8.5mm - 14k Yellow Gold 14mm Spring Ring Clasp - AAA Gemstones Listed Below Multi Gemstone Rainbow Necklace. Electrifying Pastels. Gorgeous genuine gemstones hand selected and color coded to create a dazzling rainbow display. Soft pastels are highlighted with pops of bright oranges, yellows and pinks. Reminiscent of a brilliant beach sunset. Rose Quartz, Pink Opal, Orange Spiney Oyster, Yellow Opal, Yellow Rutile Quartz, Citrine, Prehnite, Green Strawb","Rainbow Necklace Hand Knotted on Silk, 14k Gold Clasp",0
